word,0
руб,9410
россии,8571
тыс,7142
млн,6493
млрд,5918
компании,5854
господин,4274
сша,4164
рф,4081
словам,3686
января,3608
материале,3436
данным,3263
числе,2883
области,2880
рынка,2833
декабря,2722
рост,2613
ранее,2597
рынке,2560
президент,2468
компания,2401
например,2369
сообщил,2297
заявил,2268
глава,2184
владимир,2181
итогам,2179
президента,2094
считает,2084
ноября,2050
октября,2041
компаний,2034
случае,1906
решение,1892
страны,1889
новых,1879
отмечает,1860
работы,1847
александр,1844
роста,1830
таких,1782
среди,1765
российских,1754
стороны,1697
рынок,1658
следует,1654
путин,1648
данных,1639
часть,1620
суд,1610
связи,1608
рамках,1608
ставки,1593
власти,1590
объем,1539
цб,1537
стоимость,1523
см,1511
поэтому,1492
является,1485
директор,1483
место,1474
мнению,1450
идет,1445
период,1430
счет,1418
дело,1418
конце,1412
цен,1403
возможность,1403
новые,1402
вопрос,1394
отметил,1385
фоне,1384
трлн,1374
должны,1369
российского,1369
стран,1361
дмитрий,1355
частности,1345
говорится,1331
последние,1324
стали,1322
согласно,1291
стало,1275
российской,1274
средств,1271
цены,1266
речь,1263
уровне,1263
сентября,1262
господина,1262
россия,1262
месяцев,1257
вместе,1248
момент,1246
сергей,1235
безопасности,1234
данные,1231
